siteID,plotID,plotType,nlcdClass,elevation,collectDate,eventID,sampleID,samplingMethod,adultCount,nymphCount,larvaCount
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-06-22T18:41:00Z,HARV.2017.26,HARV_020.20170622,drag,4,2,0
HARV,HARV_022,distributed,evergreenForest,185.9,2017-05-08T14:24:00Z,HARV.2017.20,HARV_022.20170508,drag,0,4,0
HARV,HARV_006,distributed,deciduousForest,190.8,2017-05-08T16:31:00Z,HARV.2017.20,NA,drag,0,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2017-05-08T17:48:00Z,HARV.2017.20,HARV_026.20170508,drag and flag,2,1,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-05-09T13:29:00Z,HARV.2017.20,HARV_020.20170509,drag,3,1,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-05-09T14:58:00Z,HARV.2017.20,HARV_004.20170509,drag,5,1,0
HARV,HARV_001,distributed,deciduousForest,202.1,2017-05-09T16:35:00Z,HARV.2017.20,HARV_001.20170509,drag and flag,1,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2017-05-30T14:32:00Z,HARV.2017.23,HARV_006.20170530,drag,0,1,0
HARV,HARV_026,distributed,evergreenForest,187.3,2017-05-30T15:46:00Z,HARV.2017.23,HARV_026.20170530,drag and flag,3,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2017-05-30T17:05:00Z,HARV.2017.23,HARV_001.20170530,drag,3,17,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-05-30T18:52:00Z,HARV.2017.23,HARV_004.20170530,drag and flag,0,9,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-07-10T06:42:00Z,HARV.2017.29,HARV_020.20170710,drag and flag,2,3,0
HARV,HARV_022,distributed,evergreenForest,185.9,2017-07-10T12:12:00Z,HARV.2017.29,HARV_022.20170710,drag and flag,0,7,3
HARV,HARV_006,distributed,deciduousForest,190.8,2017-07-10T14:00:00Z,HARV.2017.29,HARV_006.20170710,drag and flag,1,2,0
HARV,HARV_026,distributed,evergreenForest,187.3,2017-07-10T15:03:00Z,HARV.2017.29,HARV_026.20170710,drag and flag,1,2,0
HARV,HARV_001,distributed,deciduousForest,202.1,2017-07-10T16:30:00Z,HARV.2017.29,HARV_001.20170710,drag and flag,1,9,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-07-10T17:40:00Z,HARV.2017.29,HARV_004.20170710,drag and flag,1,6,0
HARV,HARV_022,distributed,evergreenForest,185.9,2017-07-31T13:53:00Z,HARV.2017.32,HARV_022.20170731,drag and flag,0,2,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-07-31T15:07:00Z,HARV.2017.32,HARV_020.20170731,drag,2,3,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-07-31T16:05:00Z,HARV.2017.32,HARV_004.20170731,drag,1,2,0
HARV,HARV_001,distributed,deciduousForest,202.1,2017-07-31T17:08:00Z,HARV.2017.32,HARV_001.20170731,drag and flag,0,6,0
HARV,HARV_006,distributed,deciduousForest,190.8,2017-08-01T12:29:00Z,HARV.2017.32,HARV_006.20170801,drag and flag,0,3,0
HARV,HARV_026,distributed,evergreenForest,187.3,2017-08-01T13:35:00Z,HARV.2017.32,HARV_026.20170801,drag and flag,0,2,0
HARV,HARV_022,distributed,evergreenForest,185.9,2017-08-21T12:12:00Z,HARV.2017.35,HARV_022.20170821,drag and flag,0,3,0
HARV,HARV_006,distributed,deciduousForest,190.8,2017-08-21T13:29:00Z,HARV.2017.35,HARV_006.20170821,drag and flag,0,0,40
HARV,HARV_026,distributed,evergreenForest,187.3,2017-08-21T14:32:00Z,HARV.2017.35,HARV_026.20170821,drag and flag,0,0,42
HARV,HARV_001,distributed,deciduousForest,202.1,2017-08-21T15:29:00Z,HARV.2017.35,HARV_001.20170821,drag and flag,0,2,13
HARV,HARV_004,distributed,mixedForest,182.6,2017-08-21T16:31:00Z,HARV.2017.35,HARV_004.20170821,drag and flag,0,0,6
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-08-21T17:30:00Z,HARV.2017.35,HARV_020.20170821,drag and flag,0,1,1
HARV,HARV_006,distributed,deciduousForest,190.8,2017-09-12T12:30:00Z,HARV.2017.38,HARV_006.20170912,drag and flag,0,0,299
HARV,HARV_026,distributed,evergreenForest,187.3,2017-09-12T14:30:00Z,HARV.2017.38,HARV_026.20170912,drag and flag,0,0,27
HARV,HARV_001,distributed,deciduousForest,202.1,2017-09-12T16:52:00Z,HARV.2017.38,HARV_001.20170912,drag and flag,0,0,13
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-09-12T18:23:00Z,HARV.2017.38,HARV_020.20170912,drag and flag,0,1,6
HARV,HARV_004,distributed,mixedForest,182.6,2017-09-13T16:26:00Z,HARV.2017.38,HARV_004.20170913,drag and flag,0,2,16
HARV,HARV_022,distributed,evergreenForest,185.9,2017-09-13T20:35:00Z,HARV.2017.38,HARV_022.20170913,drag and flag,0,0,45
HARV,HARV_022,distributed,evergreenForest,185.9,2017-10-02T13:50:00Z,HARV.2017.41,HARV_022.20171002,drag and flag,0,0,3
HARV,HARV_006,distributed,deciduousForest,190.8,2017-10-02T14:50:00Z,HARV.2017.41,HARV_006.20171002,drag,0,0,34
HARV,HARV_026,distributed,evergreenForest,187.3,2017-10-02T15:32:00Z,HARV.2017.41,HARV_026.20171002,drag and flag,0,0,1
HARV,HARV_001,distributed,deciduousForest,202.1,2017-10-02T16:22:00Z,HARV.2017.41,HARV_001.20171002,drag and flag,0,1,0
HARV,HARV_004,distributed,mixedForest,182.6,2017-10-02T17:09:00Z,HARV.2017.41,HARV_004.20171002,drag and flag,0,1,0
HARV,HARV_020,distributed,woodyWetlands,228.3,2017-10-02T17:39:00Z,HARV.2017.41,HARV_020.20171002,drag and flag,0,1,0
HARV,HARV_001,distributed,deciduousForest,202.1,2018-04-23T15:59:00Z,HARV.2018.17,HARV_001.20180423,drag and flag,1,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2018-04-23T17:28:00Z,HARV.2018.17,HARV_026.20180423,drag and flag,1,0,0
HARV,HARV_006,distributed,deciduousForest,190.8,2018-04-23T18:09:00Z,HARV.2018.17,HARV_006.20180423,drag and flag,2,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2018-04-23T19:03:00Z,HARV.2018.17,NA,drag,0,0,0
HARV,HARV_002,distributed,deciduousForest,187.7,2018-04-24T12:32:00Z,HARV.2018.17,HARV_002.20180424,drag and flag,5,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-04-24T14:49:00Z,HARV.2018.17,NA,drag and flag,0,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-05-14T15:20:00Z,HARV.2018.20,HARV_022.20180514,drag and flag,1,3,1
